Datetime,content,Like
2022-04-23 06:00:43+00:00,"현대중공업이 셔틀버스를 지원하고, 다문화센터가 교육프로그램을 맡기로 해 이날 비로소 첫 수업이 시작됐습니다.  https://t.co/11Znxe9mqy",4
2022-04-19 07:21:05+00:00,"'미추홀구 가족센터'와 함께하세요!😍

💙아이 키우는데 필요한 육아정보와 모임!
💚전문가에 의한 갈등 위기가정의 가족치료!
💛1:1찾아가는 아이돌봄 서비스!
❤️다문화 가정의 적응을 위한 다양한 교육 프로그램! 등등

건강한 가정을 이룰 수 있도록 전문가들이 여러분을 도와드립니다~!👪 https://t.co/fSM1dF1Rsl",2
2022-04-18 14:03:15+00:00,"""다문화 아이도 한글 배워야죠""…교육 프로그램 개발한 스타트업https://t.co/Mj9dy8lhw5",24
2022-04-18 05:33:23+00:00,"사상생활사박물관
&lt;다문화&gt;교육프로그램 운영 안내
'니하오 중국'

↓자세히 보기↓
https://t.co/oP2jydkJ5j https://t.co/hGGlzpxC8P",1
2022-04-17 00:00:10+00:00,"""다문화 아이도 한글 배워야죠""…교육 프로그램 개발한 스타트업 https://t.co/BslFNCZHRt",13
2022-04-14 09:25:42+00:00,"프로그램 다시 듣기 ==&gt;&gt; https://t.co/vPv05LfYhK

-광주시교육감 후보를 초청해 후보들의
정책과 비전을 들어보고 있습니다.

-이정선 예비후보는 다문화 가정 및 
학교밖 청소년 지원을 위한 '다가치 교육센터' 운영과 
학교급별 전환형 공립대안학교 설립 등 책임 교육 정책을 
강조하고 있습니다. https://t.co/GjACMyEYb1",1
2022-04-14 08:11:04+00:00,[두류도서관] 2022 다문화 프로그램 수강생 모집 &gt;&gt;https://t.co/KTXi6GbTMw https://t.co/MqGLtAAfND,1
2022-04-10 13:42:39+00:00,"다문화 교육이나 안전교육, 체험학습 등 마음에 드는 프로그램이 많은건 좋은데 약간.. 저런 부분에선 ‘?????’ 되더라. 

근데 또 이런거 나만 써내나 나만 유난스러운 엄마 되나 싶어지고 그러네;;",6
2022-03-31 05:53:36+00:00,"📢안전취약계층을 위한 안전교육을 시행합니다. 

✅이주 노동자, 다문화 가정까지 교육 대상 확대
✅온라인 교육, 체험형 프로그램 등 맞춤형 교육 진행
✅전문기관과 강사 명단, 표준교육 자료 등 전문적인 운영 지원

자세히 보기
👉 https://t.co/7TUwjKr8qd

*출처: 대한민국 행정안전부 https://t.co/dv7XtMK6cz",11
2022-03-30 08:06:47+00:00,"📢안전취약계층을 위한 안전교육을 시행합니다. 

✅이주 노동자, 다문화 가정까지 교육 대상 확대
✅온라인 교육, 체험형 프로그램 등 맞춤형 교육 진행
✅전문기관과 강사 명단, 표준교육 자료 등 전문적인 운영 지원

자세히 보기
👉 https://t.co/MPsMhbJAUJ https://t.co/xVwQgxEtFU",4
2022-03-23 12:01:00+00:00,여가부 지원으로 각지에서 운영되는 다문화가족지원센터들이 센터별 통역인력이 부족해서 자체 다문화가정 지원 프로그램 설명문 번역을 타센터에 서로서로 부탁하며 품앗이하고 있고 이민자 적응 프로그램은 전국에서 몇군데 하는 곳이 없어서 경쟁률이 개빡센 실정인데 그것마저도 없애겟다고,7
2022-03-15 02:43:29+00:00,"우리금융 우리다문화장학재단, 2022년 ‘다문화기관ㆍ단체 우수 프로그램 지원사업’ 실시 https://t.co/3cPCadDcQZ",1
2022-03-15 00:28:01+00:00,"아직 우리나라는 다문화국가지만 다문화수용성도 없고 인권감수성도 낮아.
그리고 상대적으로 다문화자녀들이 수도권과 지방에 몰려있기때문에 서울지역사람들은 더 체감하지 못할수도 있어. 그럼 적어도 언론에선 똑바로 방송내보내야하는데, 다문화관련 프로그램들 보면 오히려 선긋기야.",7
2022-03-07 11:45:57+00:00,@lukalouisriri 다문화 관련도 제 업무중 하나예요 선생님! 그런데 저게 무엇인지 알지를 못해가지고ㅜㅜ 무슨 공문으로 다문화 계획 어쩌구도 오긴했는데 이건 학교에서 프로그램같은걸 신청하는것 같아서 잊어버리고 있었더니... 이 공문과 관련된 걸 말하는지 뭔지 모르겠어서 낼 여쭈러갈까 생각중이었어요ㅜㅜ,1
2022-02-23 14:30:10+00:00,고잉에 다문화가 부족해서 다문화가족 프로그램 보는 중 띠발…,14
2022-01-25 15:08:34+00:00,암튼 일년내내 어린이실에서 일했는데 다문화프로그램 보조도 하구 여름방학때 진짜 너무힘드러서 죽을뻔해찌만 집이랑 멀지않아서 좋았어 그리구 도서관알바하면 맨날 책빌려서 짱신났음!!!퇴근하면서 1984 너무 재밌어서 걸어가면서 읽었던 기억두 나,2
2022-01-17 04:09:12+00:00,"비대면 가족 운동회 온라인 가족캠프 프로그램기획 가족레크레이션전문강사 의왕시 영상중계, 영상송출 줌 유튜브 방송 mc 이미경 다문화가족축제 https://t.co/qvvszRZp1P",1
2021-12-08 10:49:13+00:00,"홍성군보건소, 비대면 ‘다문화 다누려!’ 건강증진 프로그램 호응 - http://218.145.31.7/~mkbc55/bbs/board.php?bo_table=B13&amp;wr_id=2412",1
2021-12-07 13:03:25+00:00,@sallys69law 다문화 고부열전 그 프로그램만 봐도.; 별로 안 봤는데 자기 신변처리도 제대로 못하는 장애남이 매매혼해서 자식 낳고 부인은 돈 벌면서 육아 가사 봉양 다 하는 걸 몇번 봤는지🤦‍♀️,1
2021-12-06 09:48:21+00:00,"""학성동물매개치료센터는 울산 야음중학교에서 다문화 청소년 대상으로 '동물교감 힐링 프로그램'을 4년째 실시해오고 있다.""(기사읽기: https://t.co/57O2PtMet3)",1
2021-11-16 06:38:03+00:00,"코너 다시듣기==&gt;&gt;https://t.co/ei31OXNFvx

-광주 월곡초등학교에서는 
 다문화 가정을 위한 여러 프로그램을 운영하고 있습니다.

-이런 노력으로 6학년 박베로니카 학생이 최근 ‘제9회 전국이중언어말하기대회’에서 교육부장관상을 수상했습니다. https://t.co/zkB2zNrbTg",4
2021-11-08 07:10:21+00:00,"&lt;답십리도서관 다문화 프로그램 “도서관으로 떠나는 세계문화여행” 참여어린이 모집 안내&gt;
나라별 전래동화를 함께 읽고 전통문화를 체험해 보아요! 답십리도서관 누리집에서 신청할 수 있습니다!
#답십리도서관 #다문화프로그램 #어린이프로그램 https://t.co/w6B9MesbE1",1
2021-11-04 00:29:02+00:00,그 환경 자체가 마음 다치기 만드는거 같은데 다문화 프로그램 보면 막 나이차 많은 시골 남자들 많이 나온단 말이지 돈은 별로 없고,1
2021-11-01 10:33:29+00:00,"재작년 쯤일거에요.
전주 MBC 다니는 친구가
공중파 시청률이 너무 떨어지는데,
젊은 사람들을 타겟으로 하는 프로그램은 더이상 안먹히고,

차라리 한국 농촌으로 시집 온 다문화 여성들이 지역 뉴스를 볼 수 있도록 하자는 아이디어가 있었다 했는데

이게 현실화됐군요! 우와! https://t.co/ktlqmECW8v",1190
2021-10-26 07:10:08+00:00,"📬플랫타 EX 위클리 뉴스레터- 8월 3일

🔎주요 내용
- 8월 5일 프렌비(FRV) 상장
- 7월 28일 체인링크(LINK) 상장
- 북한이탈주민 및 다문화가정 일자리 위한 MOU 체결
- 좀도리 프로그램 적용 안내
- 프렌비(FRV) 에어드랍 이벤트

자세히 보기
🔽 https://t.co/A8nEtGNuJE",2
2021-10-23 08:00:00+00:00,"""가장 급한 것은 한국어를 배우는 것인데, 한국어 가르쳐주는 데를 찾지 못해 한참 헤맸어요. 사회통합프로그램, 다문화센터 같은 데 물어봐도 내가 한국인이라서 안 된다고 해요. 외국인이면 되는데 한국인이니까 안 된대요. 정말 너무하는 거 아닌가요?""
https://t.co/kDKFpHzUUp",35
2021-10-21 05:47:03+00:00,"@brainAge 장서량도 믈론 중요한 평가요소 중 하나지만 장서만 많다고 해서 꼭 좋은 도서관은 아니라고 생각해요. 노인, 다문화, 어린이 등 다양한 지역주민들을 위한 프로그램과 공간을 제공하는 독산도서관이 저는 무척 맘에 들었습니다. 저는 지역 주민들에게 사랑받는 도서관이 좋은 도서관이라고 생각해요.",5
2021-10-15 05:12:36+00:00,"화순군 건강가정·다문화가족지원센터는 지난 13일 한부모, 조손가정 등 8가족이 참여한 가운데 가족 역량강화 지원 사업의 하나인 ‘고맙고 소중한 우리가족, 천연화장품 만들기’ 프로그램을 진행했습니다.",3
2021-10-10 02:16:34+00:00,EBS의 간판 프로그램 중 하나인 &lt;다문화 고부열전&gt;이 더 이상 프로그램 제작을 하지 않기로 했나 봄.(지금 방송 나가고 있는 건 재방송) 예전에 국정감사에서도 이 방송이 시대착오적이라는 지적이 있었던 걸로 아는데 워낙 시청률이 잘 나와서 그간 폐지 못하고 있다가 더 이상 버틸수가 없었나봄....,341
2021-10-05 05:51:57+00:00,화순 다문화가족지원센터는 결혼 이민자 정착을 위한 지원 프로그램을 운영하고 있습니다. 특히 참가자들은 영상을 제작해 모국 지인 등에게 한국 문화를 소개하고 한국어나 한국의 음식에 모국의 재료나 소스를 조합해 새로운 음식을 만드는 영상을 촬영해 소셜미디어 등을 활용해 공유할 예정입니다. https://t.co/I9DjTZL75o,4
2021-10-05 00:54:26+00:00,"&lt;경기도 평진원, 다문화 가정 학생·학부모 대상 민주시민교육 프로그램 참가자 모집&gt; 
경기도와 경기도평생교육진흥원은 민주시민교육 프로그램에 참여할 경기도 거주 다문화 가정 학생과 학부모를 10월 13일까지 모집합니다. 
출처 : 이코노뉴스(https://t.co/x3wnW7GrCW)https://t.co/3dtktvKBlZ https://t.co/3jP8BrDEtm",4
2021-09-30 05:10:05+00:00,2021년 「삼척시건강가정·다문화가족지원센터」 프로그램 안내https://t.co/uiqN903UWc,1
2021-09-28 14:08:26+00:00,"우리 모둠 이번 프로젝트 모둠명.. 다문화 학당..ㅎ
( 아재개그 좋아하는 남자 애가 계속 프로그램 명에 다문화 넣어서 만들다가 다문화학당이랑 다문화콜센타 이런거만 계속 나왔는데 결국 다문화 학당;-; ) https://t.co/aUCvDW06oA",7
2021-09-26 16:00:17+00:00,"한부모가족 근로소득공제 도입·양육비 인상…복지사각지대 줄인다 

[수혜대상별로 본 내년도 예산안] ⑤한부모·다문화 가정

청소년 한부모 대상 자립지원 패키지 시행…다문화가정 자녀 맞춤형 프로그램도

2021.09.24 정책브리핑 원세연

[출처] 대한민국 정책브리핑

https://t.co/HPJL93nek9",1
2021-09-26 15:15:03+00:00,"리노한테추천하는 티비프로그램
(실시간시청후기가궁금함) 
동치미
황금알
서민갑부
나는자연인이다
다문화고부열전
결혼작사이혼작곡",4
2021-08-23 09:30:00+00:00,"가까운 어린이집 3~5곳이🏘️
아이를 함께 키우는 #서울형_공유어린이집!
※ 8개 자치구, 14개 공동체(58개 어린이집) 선정
※ 내년 전 자치구로 확대 계획

☝️오늘(8.23)부터 생태친화프로그램, 간식융합교육, 다문화 교육 등 각 공동체마다 기획한 프로그램들을 시작합니다!
🔎https://t.co/dADLzNFRw3 https://t.co/vv8a5z6yj1",14
2021-08-21 10:31:20+00:00,"아내가 정부에서 운영하는 무료 ‘다문화’ 한국어 프로그램에 참여하러 배치고사를 본 적이 있는데, 생각보다 많은 분량이 제사에 들어갈 법한 음식이나 음식 재료에 할애되어 당황했었다. 이것들이 포함되는 이유가 이해는 가지만 다소 불편했던 기억. 수강생 대부분은 아시아 여성들.",2
2021-08-20 11:39:20+00:00,다문화고부열전 21세기에 이런방송이 아직도 폐지를 안했네 레전드 쓰레기프로그램,1
2021-08-18 08:19:14+00:00,"양산시 건강가정 다문화가족지원센터에서 양산시민을 대상으로 프로그램을 운영합니다!
시민 여러분의 많은 참여 부탁드립니다!

#양산시 #건강가정다문화가족지원센터 #심리검사 #미술치료 https://t.co/vKN8zGoExR",1
2021-08-18 04:50:26+00:00,"📢사상생활사박물관 여름방학 &lt;다문화&gt;교육프로그램 안내

✅문의: 사상생활사박물관 051-310-5137

#사상생활사박물관 #여름방학 #다문화교육 #우즈베키스탄 https://t.co/rNSmjkf7Kc",1
2021-08-09 07:13:46+00:00,"동대문구건강가정·다문화가족지원센터는
1인가구 상담 멘토링 프로그램에 
참여를 희망하는 멘티를 모집합니다.

▶자세히보기
https://t.co/SWhy8Vz5me https://t.co/BXot7zqgEF",1
2021-08-09 04:45:36+00:00,"도봉구건강가정·다문화가족지원센터 ‘두근두근 부모준비교실’ 접수

임신을 계획 중이거나 임신 중인 양육자를 대상으로 다양한 프로그램을 통해 태아와 친밀한 유대감을 형성하고 긍정적인 애착관계 형성을 돕고자 예비 부모의 임신 태교 및 양육을 위한 교육 - 두근두근 부모 준비 교실진행 https://t.co/Q1jCizOVbQ",1
2021-07-17 05:32:51+00:00,"10년전도 넘은 시절 다문화가정 여성분들 대상으로 교육프로그램을 진행할때 항상 이분들이 다음주에 또 나올수 있을까가 걱정이었다 
그 시어머니나 남편들이 매번 일시켜야한다거나 애를 자꾸 빼간다고, 이상한거 주입시킨다고 못가게하고 불만을 얘기했기 때문… https://t.co/nBq1uVMp21",11
2021-07-14 04:36:10+00:00,"코로나19로 심화한 교육 격차를 해소하기 위해 기초학력 보강을 포함한 '교육회복 종합방안'이 만들어진다.

교육회복 종합방안에는 ▲ 기초학력 강화 ▲ 다문화·장애인 맞춤 프로그램 ▲ 사회성 회복 ▲ 저소득층 장학금 등 4대 교육향상 패키지가 포함됐다.

https://t.co/ewHPPn51cp",1
2021-07-13 10:51:33+00:00,"꿈꾸는 글로벌리더스쿨은 다문화가족 자녀 25명을 대상으로 5월부터 매주 화‧목요일마다 진행하고 있으며, 화요일은 사회성발달영역의 ‘우리끼리 또래끼리’ 프로그램, 미래설계영역의 ‘드림하이’ 프로그램을, 목요일은 미래설계영역의 직업체험 ‘드론반 프로그램’을 운영하고 있다. https://t.co/RvVVAXXoWt",1
2021-07-09 03:24:41+00:00,학교내 위클래스도 여가부담당이고 다문화 지원 등등 상담 프로그램 지원 다 여가부 소속임 뭐 하는 일이 없다고 씨부려 솔직히 그냥 여성업무만 화끈하게 하고 폭파시켰음 싶은데 헛소리들 진짜,1
2021-06-30 01:20:40+00:00,"다문화학생 심리·정서지원 프로그램 운영으로 자신감 UP! 학교 적응력 UP!

블로그에서 자세하게 알아볼까요?
▶ https://t.co/UdRDeUHRZi

#대구광역시교육청 #대구교육청 #대구시교육청 #심리지원 #정서지원 #프로그램 #대구대학교 #산학협력단",1
2021-06-25 11:30:11+00:00,"&lt;다문화 고부열전&gt;이라는 프로그램 대단하다..
겨우 세 단어를 붙여놓은건데 어떻게 저렇게 끔찍한 어감이 들지",18
2021-06-25 03:48:53+00:00,"전북대, 다문화가정 이주여성 대상 프로그램 ‘호응’ | 다음카페 https://t.co/pDT9MK938d https://t.co/ljzAOmivCH",1
2021-06-14 13:21:41+00:00,"#pridemonth

아트선재센터가 그래도 기본이 됐구먼요. 🌈🦄💐💃💦 

다른 기관들은 말로만 다양성 타자성 외치고 실천은 안 해요? 성소수자 지지 표명하시고, 배리어 프리 실현하시고, 다문화가족을 위한 프로그램을 도입해주세요. 우리는 세상을 바꿀 수 있습니다. https://t.co/u0lPFii91E",7
2021-06-06 04:20:14+00:00,한국 TV에 정말 극혐 프로그램 많지만 EBS의 &lt;다문화 고부열전&gt; 정말 최악이고 한국사회의 민낯을 보여준다. 물론 TV에 '며느리'라는 이름이 나오는 컨텐츠들은 인권 차원에서 보자면 모조리 징계 받아야 할 수준이긴 하지만.,10
2021-05-31 00:22:22+00:00,농촌 무시하냐고 하는 인간들치고 농촌 문제에 대해서 제대로 인식하거나 개선하려는 자들이 없어서 비웃음만 나올 뿐이다. 하다못해 다문화 가정이 나오는 프로그램을 본 적이 있기나 한건지. 대개 가난이 되물림되고 학습 부진으로 도태되어 사회 불안요소로 차곡차곡 쌓이고 있는데,1
2021-05-28 02:28:13+00:00,"부여 내산초, 세계시민 교육·다문화 교육 프로그램 실시 https://t.co/cfmJQhFwrk",1
2021-05-18 02:23:40+00:00,"다문화교육도 역차별이 우려될까?
다문화가정자녀가 아닌 애들 역차별 부추기는 교육이니? 
왜 그냥 다 하지말지 그래? 
어처구니가 없네. 
페미니즘이 학폭을 부추긴다는 이상한 생각할 시간에 지금 현존하는 학폭 예방 프로그램 중에 엉망으로 만들어진 것이나 제대로 수정해라.",10
2021-05-11 14:03:53+00:00,"킹덤 다문화가정 프로그램이었어?
출연진들이 다 다문화가정 일원인거같아..

 https://t.co/bhyjs3cBCj",1
2021-04-08 14:32:53+00:00,이비에스 왜 저래. 다문화고부열전…… 제목부터 구린 프로그램 보다가 내가 열 받아서,3
2021-03-24 00:24:19+00:00,"❝마포구 건강가정·다문화가족지원센터❞에서 제공하는
다양해지는 가족형태에 대응하는 맞춤형 지원정책🤗
☑센터 공지사항
☑진행 사업
☑프로그램 소식 등
알찬 꿀팁들 스마트트폰으로 신속하고 편리하게 소식 받으세요‼🥰
-
자세히👉https://t.co/qPYQTJ95rA https://t.co/Ml9KCuj885",1
2021-03-15 05:38:11+00:00,"ㅋㅋㅋㄱㅋ저출산이네 뭐네하면서 결혼 권장하면서 TV프로그램 보면 다 비혼하고 싶게 만드는 것들뿐임
EBS에서 하는 다문화 고부열전 보다가 열 받아서 리모컨 던질 뻔",9
2021-03-11 02:04:58+00:00,"[사상생활사박물관]
국립민속박물관 다문화꾸러미 대여 운영

&lt;다문화 교육프로그램 안내&gt;
사상생활사박물관은 2021년 국립민속박물관 &lt;다문화꾸러미 대여 운영&gt; 사업에 선정되어 우즈베키스탄을 주제로 '살롬 우즈베키스탄' 교육프로그램을 진행합니다.

✔문의: 사상생활사박물관 ☏ 051) 310-5137 https://t.co/eX1jECciV7",2
2021-02-26 02:21:26+00:00,@mukhyul @romuska1 이비에스 고부열전 아직 하나 모르겠네요. 다문화가정에 대한 미디어폭력 그 자체였는데...아예 외국인 며느리들만 따다 만든 프로그램이잖아요 그거.,2
2021-02-25 02:25:43+00:00,"2021년 이후의 다문화 다인종관련 프로그램은 반드시 소수민족과 소수문화를 존중하고 그들의 목소리를 들어야 되는것.
그거 없으면 평생 잘나가는 미국백남 영국백남 독일백남 프랑스백남이 김치먹는거만 보고살든가",1
2021-02-19 08:22:31+00:00,"2025년까지 서울에 40개 #공공도서관 확충!👀📚

문화활동 공간, 주민 커뮤니티👥,북카페📕등이 함께 조성돼 단순히 책을 읽는 공간을 넘어 #문화시설 로 운영되며, 영유아·어르신·장애인·다문화가족 등 대상 및 세대별 맞춤형 온‧오프라인 독서문화 프로그램도 운영합니다👉https://t.co/M3VddQl2xw https://t.co/JAMEDiIVQi",33
2021-01-30 12:57:59+00:00,수원징 라이센스 인증기관 자체가 아웃소싱돼서 라메이즈 마라탕에 연밀 만두 때려주는걸로 다문화 서티피케이션 프로그램으로 바뀌었다니깐요???,2
2021-01-28 14:17:55+00:00,"다문화 고부 열전, 고부갈등 프로그램 이딴 거 다 없어졌으면 좋겠다
속속 끓어오르고 뇌가 터질 거 같음
(EBS1 보는 중)",4
2021-01-20 06:45:49+00:00,"대구시교육청, 방학 중 다문화학생 맞춤형 프로그램을 통한 새학기 자신감 UP, 실력 UP

- 다문화학생 대상 방학 중 프로그램을 통한 코로나19 학습 공백 최소화 -

블로그에서 다양한 내용을 만나보세요!
▶ https://t.co/1GNIMXTOxl

#대구광역시교육청 #대구시교육청  #다문화학생 #학습공백",1
2020-12-14 07:42:13+00:00,해리포터와 영유아 개발 프로그램과 평가 - 다문화 교육 프로그램 https://t.co/9hVIamssey,4
2020-11-17 02:54:35+00:00,다문화고부열전+아빠찾아삼만리 트위터에서 되게 욕 많이 먹는 프로그램 중 하나인데 아니 시사고발프로그램도 아니고 그정도도 포장 안하고 내보내면 어쩔건가 싶음,1
2020-10-27 06:27:42+00:00,"이 프로그램은 가수 인순이가 다문화 학생을 위해 설립한 중등 대안학교 해밀학교에서 출연자들이 6주간 방과 후 축구교실을 열고 학생들과 호흡하는 이야기를 담는다.

좋은 프로그램이구나 ~~~~~~~~~ :D",1
2020-10-27 05:58:33+00:00,"10월 29일 새롭게 론칭하는 프로그램 '으라차차 산골축구단'은 국민가수 인순이가 설립한 다문화 학생을 위한 중등 대안학교 해밀학교에서 축구를 사랑하는 아이들을 위해 펼쳐지는6주간의 방과후 축구교실에서 펼쳐지는 이야기이다.

재환이 하는 축구예능 완전 의미있는 프로그램이야🥺❤ https://t.co/xzzwM3P880",88
2020-10-23 04:43:00+00:00,"연수구 건강가정∙다문화가족지원센터, 비대면 프로그램 사진전 개최

▶ https://t.co/qbAjIvDgxm

#연수구 #건강가정 #다문화가족지원센터 #스퀘어원 #문화홀 #사진전 #사진전시 https://t.co/LahlZyYcPc",1
2020-10-15 07:41:19+00:00,"안산지원, ‘외국인 관련 재판’ 역량강화 나섰다 - 수원지법 안산지원이 전국 법원 중 최초로 법관과 직원들을 상대로 '외국인'을 주제로 한 재판역량강화 프로그램을 시리즈로 기획했다. 외국인 노동자와 다문화 가정이 늘... https://t.co/thHUqN2V2D",1
2020-10-12 20:44:41+00:00,"강북구건강가정·다문화가족지원센터, 2020 서울가족학교 
아동기부모교실 진행 , 

- 아동기 자녀 양육자 대상으로 대화법, 성인지 감수성 등 강의 , 강북구건강가정·다문화가족지원센터는 ‘2020 서울가족학교 아동기부모교실’ 프로그램을 지난 9월 10일, 17일 2주에 걸쳐 온라인으로.   -이채원기자- https://t.co/Tjc0Z55rIN",1
2020-09-23 10:26:12+00:00,"의림지 역사박물관 지하 로비에서“다르지만, 같은 나라 우즈베키스탄!”이라는 주제의 전시를 기획하고 있다.
교육 프로그램 신청은 제천시 교육포탈(https://t.co/CJtBrTu3U9)을 통해 받고 있다.
다문화 꾸러미 신청 등 자세한 사항은 전화(043-641-6568)로 문의하면 된다.",1
