"통계분류(1)",통계분류(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"통계분류(1)",통계분류(2),사례수,스스로 읽고  싶어서,자기 계발을 위해,주변 사람이 권해서,신문 방송 인터넷에서 책  소개를 보고,직장 업무 (학생은 대학 과제)에  필요해서,유튜브 SNS(페 이스북 트위터 등)를 보고,취미 활동을 위해서,자녀의 독서에 도움을 주려고,종교 활동을 위해서,책을 선물로 받아서
"전체",소계,2847,45.3,19.5,8.1,6.8,6.3,4.6,3.7,2.6,2.1,1
"성별",남성,1437,46.2,20.7,7,7.2,7.5,4.8,3.6,1.2,1.1,0.6
"성별",여성,1410,44.4,18.2,9.2,6.4,5.1,4.3,3.7,4.1,3.1,1.4
"연령별",19~29세,793,42.8,22.1,8.4,7.5,8.3,6.3,3.5,0.2,0.2,0.9
"연령별",30~39세,663,42.4,19.2,7.7,7.1,7.6,5.8,3.3,6.1,0.2,0.7
"연령별",40~49세,561,47.1,18.6,8.1,6.3,5.4,3.6,3.1,4.9,1.4,1.6
"연령별",50~59세,419,46.9,18.4,8.3,7.8,6.1,3.8,3.5,0.4,3.3,1.6
"연령별",60세 이상,411,51.2,16.9,8,4.7,2,1.4,5.4,1.1,8.5,0.7
"연간독서량(종이책기준)",없음,404,43,15.3,10.2,10.3,4.6,10.9,4.1,0.8,0.5,0.3
"연간독서량(종이책기준)",1~5권,1628,45.4,19.7,8.6,5.7,6.7,3.9,3.3,2.5,2.7,1.4
"연간독서량(종이책기준)",6~10권,524,45.7,22.2,5.9,7.6,5.9,2.7,3.9,3.6,1.9,0.6
"연간독서량(종이책기준)",11~15권,147,48.4,17.9,5.6,6.8,7.1,3.8,5.8,3.6,0.2,0.7
"연간독서량(종이책기준)",16~20권,68,40.4,18.9,7.1,11.7,9.7,2.7,4.8,3.5,1.1,0.3
"연간독서량(종이책기준)",21권 이상,76,51.3,20.1,6.7,3.1,5.3,2,2.1,6.9,1.9,0.5
